t3_um,radius_um,pressure_pa,capacitance_fF
2.0,400.0,8300.0,1554.5
2.0,400.0,8400.0,1563.1
2.0,400.0,8500.0,1571.7
2.0,400.0,8600.0,1580.0
2.0,400.0,8700.0,1588.3
2.0,400.0,8800.0,1596.4
2.0,400.0,8900.0,1604.4
2.0,400.0,9000.0,1612.4
2.0,400.0,9100.0,1620.3
2.0,400.0,9200.0,1628.0
2.0,400.0,9300.0,1635.7
2.0,400.0,9400.0,1643.3
2.0,400.0,9500.0,1650.8
2.0,400.0,9600.0,1658.2
2.0,400.0,9700.0,1665.5
2.0,400.0,9800.0,1672.7
2.0,400.0,9900.0,1679.9
2.0,400.0,10000.0,1687.0
2.0,400.0,10100.0,1694.0
2.0,400.0,10200.0,1700.9
2.0,400.0,10300.0,1707.7
2.0,400.0,10400.0,1714.5
2.0,400.0,10500.0,1721.3
2.0,400.0,10600.0,1727.8
2.0,400.0,10700.0,1734.4
2.0,400.0,10800.0,1740.9
2.0,400.0,10900.0,1747.4
2.0,400.0,11000.0,1753.7
2.0,400.0,11100.0,1760.0
2.0,400.0,11200.0,1766.2
2.0,400.0,11300.0,1772.4
2.0,400.0,11400.0,1778.5
2.0,400.0,11500.0,1784.5
2.0,400.0,11600.0,1790.5
2.0,400.0,11700.0,1796.5
2.0,400.0,11800.0,1802.4
2.0,400.0,11900.0,1808.1
2.0,400.0,12000.0,1813.9
2.0,400.0,12100.0,1819.6
2.0,400.0,12200.0,1825.2
2.0,400.0,12300.0,1830.9
2.0,400.0,12400.0,1836.4
2.0,400.0,12500.0,1841.9
2.0,400.0,12600.0,1847.4
2.0,400.0,12700.0,1852.8
2.0,400.0,12800.0,1858.1
2.0,400.0,12900.0,1863.4
2.0,400.0,13000.0,1868.7
2.0,400.0,13100.0,1873.9
2.0,400.0,13200.0,1879.0
2.0,400.0,13300.0,1884.2
2.0,400.0,13400.0,1889.4
2.0,400.0,13500.0,1894.3
2.0,400.0,13600.0,1899.3
2.0,400.0,13700.0,1904.2
2.0,400.0,13800.0,1909.3
2.0,400.0,13900.0,1914.0
2.0,400.0,14000.0,1918.8
2.0,450.0,0.0,514.3
2.0,450.0,100.0,573.0
2.0,450.0,200.0,606.68
2.0,450.0,300.0,634.26
2.0,450.0,400.0,659.09
2.0,450.0,500.0,682.41
2.0,450.0,600.0,704.92
2.0,450.0,700.0,727.0
2.0,450.0,800.0,748.93
2.0,450.0,900.0,770.93
2.0,450.0,1000.0,793.16
2.0,450.0,1100.0,815.78
2.0,450.0,1200.0,838.94
2.0,450.0,1300.0,862.77
2.0,450.0,1400.0,887.41
2.0,450.0,1500.0,913.04
2.0,450.0,1600.0,939.81
2.0,450.0,1700.0,967.93
2.0,450.0,1800.0,997.61
2.0,450.0,1900.0,1029.1
2.0,450.0,2000.0,1062.8
2.0,450.0,2100.0,1099.0
2.0,450.0,2200.0,1138.2
2.0,450.0,2300.0,1181.1
2.0,450.0,2400.0,1228.4
2.0,450.0,2500.0,1281.3
2.0,450.0,2600.0,1354.0
2.0,450.0,2700.0,1379.7
2.0,450.0,2800.0,1406.2
2.0,450.0,2900.0,1433.6
2.0,450.0,3000.0,1462.1
2.0,450.0,3100.0,1491.6
2.0,450.0,3200.0,1523.1
2.0,450.0,3300.0,1550.3
2.0,450.0,3400.0,1578.7
2.0,450.0,3500.0,1605.2
2.0,450.0,3600.0,1632.9
2.0,450.0,3700.0,1657.1
2.0,450.0,3800.0,1681.9
2.0,450.0,3900.0,1706.1
2.0,450.0,4000.0,1729.4
2.0,450.0,4100.0,1752.4
2.0,450.0,4200.0,1774.5
2.0,450.0,4300.0,1796.4
2.0,450.0,4400.0,1817.3
2.0,450.0,4500.0,1838.5
2.0,450.0,4600.0,1858.2
2.0,450.0,4700.0,1878.3
2.0,450.0,4800.0,1897.1
2.0,450.0,4900.0,1916.5
2.0,450.0,5000.0,1934.4
2.0,450.0,5100.0,1952.7
2.0,450.0,5200.0,1970.0
2.0,450.0,5300.0,1987.5
2.0,450.0,5400.0,2004.2
2.0,450.0,5500.0,2021.3
2.0,450.0,5600.0,2037.0
2.0,450.0,5700.0,2052.9
2.0,450.0,5800.0,2068.6
2.0,450.0,5900.0,2083.9
2.0,450.0,6000.0,2099.0
2.0,450.0,6100.0,2113.7
2.0,450.0,6200.0,2128.4
2.0,450.0,6300.0,2142.4
2.0,450.0,6400.0,2156.5
2.0,450.0,6500.0,2170.1
2.0,450.0,6600.0,2184.0
2.0,450.0,6700.0,2197.0
2.0,450.0,6800.0,2210.0
2.0,450.0,6900.0,2222.9
2.0,450.0,7000.0,2235.6
2.0,450.0,7100.0,2248.0
2.0,450.0,7200.0,2260.3
2.0,450.0,7300.0,2272.3
2.0,450.0,7400.0,2284.2
2.0,450.0,7500.0,2295.8
2.0,450.0,7600.0,2307.5
2.0,450.0,7700.0,2318.7
2.0,450.0,7800.0,2330.0
2.0,450.0,7900.0,2340.9
2.0,450.0,8000.0,2351.7
2.0,450.0,8100.0,2362.5
2.0,450.0,8200.0,2373.0
2.0,450.0,8300.0,2383.4
2.0,450.0,8400.0,2393.8
2.0,450.0,8500.0,2403.8
2.0,450.0,8600.0,2413.8
2.0,450.0,8700.0,2423.7
2.0,450.0,8800.0,2433.4
2.0,450.0,8900.0,2443.1
2.0,450.0,9000.0,2452.5
2.0,450.0,9100.0,2461.9
2.0,450.0,9200.0,2471.1
2.0,450.0,9300.0,2480.4
2.0,450.0,9400.0,2489.2
2.0,450.0,9500.0,2498.2
2.0,450.0,9600.0,2506.9
2.0,450.0,9700.0,2515.6
2.0,450.0,9800.0,2524.3
2.0,450.0,9900.0,2532.7
2.0,450.0,10000.0,2541.1
2.0,450.0,10100.0,2549.4
2.0,450.0,10200.0,2557.8
2.0,450.0,10300.0,2565.7
2.0,450.0,10400.0,2573.7
2.0,450.0,10500.0,2581.6
2.0,450.0,10600.0,2589.5
2.0,450.0,10700.0,2597.4
2.0,450.0,10800.0,2604.9
2.0,450.0,10900.0,2612.5
2.0,450.0,11000.0,2620.0
2.0,450.0,11100.0,2627.5
2.0,450.0,11200.0,2634.8
2.0,450.0,11300.0,2642.0
2.0,450.0,11400.0,2649.2
2.0,450.0,11500.0,2656.4
2.0,450.0,11600.0,2663.4
2.0,450.0,11700.0,2670.4
2.0,450.0,11800.0,2677.5
2.0,450.0,11900.0,2684.2
2.0,450.0,12000.0,2690.9
2.0,450.0,12100.0,2697.7
2.0,450.0,12200.0,2704.5
2.0,450.0,12300.0,2710.9
2.0,450.0,12400.0,2717.4
2.0,450.0,12500.0,2723.9
2.0,450.0,12600.0,2730.3
2.0,450.0,12700.0,2736.7
2.0,450.0,12800.0,2742.9
2.0,450.0,12900.0,2749.1
2.0,450.0,13000.0,2755.3
2.0,450.0,13100.0,2761.4
2.0,450.0,13200.0,2767.5
2.0,450.0,13300.0,2773.4
2.0,450.0,13400.0,2779.4
2.0,450.0,13500.0,2785.3
2.0,450.0,13600.0,2791.2
2.0,450.0,13700.0,2796.9
2.0,450.0,13800.0,2802.7
2.0,450.0,13900.0,2808.4
2.0,450.0,14000.0,2814.0
2.0,500.0,0.0,634.94
2.0,500.0,100.0,730.62
2.0,500.0,200.0,784.55
2.0,500.0,300.0,830.29
2.0,500.0,400.0,872.89
2.0,500.0,500.0,914.28
2.0,500.0,600.0,955.65
2.0,500.0,700.0,997.75
2.0,500.0,800.0,1041.2
2.0,500.0,900.0,1086.7
2.0,500.0,1000.0,1134.9
2.0,500.0,1100.0,1186.5
2.0,500.0,1200.0,1242.5
2.0,500.0,1300.0,1303.9
2.0,500.0,1400.0,1372.4
2.0,500.0,1500.0,1450.2
2.0,500.0,1600.0,1540.6
2.0,500.0,1700.0,1663.7
2.0,500.0,1800.0,1713.5
2.0,500.0,1900.0,1766.0
2.0,500.0,2000.0,1821.6
2.0,500.0,2100.0,1883.7
2.0,500.0,2200.0,1932.5
2.0,500.0,2300.0,1984.2
2.0,500.0,2400.0,2032.3
2.0,500.0,2500.0,2080.7
2.0,500.0,2600.0,2123.8
2.0,500.0,2700.0,2169.9
2.0,500.0,2800.0,2208.6
2.0,500.0,2900.0,2248.8
2.0,500.0,3000.0,2286.8
2.0,500.0,3100.0,2324.8
2.0,500.0,3200.0,2359.5
2.0,500.0,3300.0,2396.5
2.0,500.0,3400.0,2427.9
2.0,500.0,3500.0,2460.2
2.0,500.0,3600.0,2491.8
2.0,500.0,3700.0,2521.9
2.0,500.0,3800.0,2552.2
2.0,500.0,3900.0,2580.3
2.0,500.0,4000.0,2609.6
2.0,500.0,4100.0,2635.5
2.0,500.0,4200.0,2661.9
2.0,500.0,4300.0,2687.5
2.0,500.0,4400.0,2712.9
2.0,500.0,4500.0,2737.0
2.0,500.0,4600.0,2761.7
2.0,500.0,4700.0,2784.1
2.0,500.0,4800.0,2807.0
2.0,500.0,4900.0,2829.0
2.0,500.0,5000.0,2850.8
2.0,500.0,5100.0,2871.9
2.0,500.0,5200.0,2892.6
2.0,500.0,5300.0,2913.0
2.0,500.0,5400.0,2932.7
2.0,500.0,5500.0,2952.2
2.0,500.0,5600.0,2971.3
2.0,500.0,5700.0,2989.9
2.0,500.0,5800.0,3008.6
2.0,500.0,5900.0,3026.0
2.0,500.0,6000.0,3043.6
2.0,500.0,6100.0,3060.8
2.0,500.0,6200.0,3077.7
2.0,500.0,6300.0,3094.5
2.0,500.0,6400.0,3110.6
2.0,500.0,6500.0,3126.8
2.0,500.0,6600.0,3142.3
2.0,500.0,6700.0,3158.0
2.0,500.0,6800.0,3173.0
2.0,500.0,6900.0,3187.9
2.0,500.0,7000.0,3202.6
2.0,500.0,7100.0,3217.0
2.0,500.0,7200.0,3231.2
2.0,500.0,7300.0,3245.3
2.0,500.0,7400.0,3258.9
2.0,500.0,7500.0,3272.4
2.0,500.0,7600.0,3285.7
2.0,500.0,7700.0,3298.9
2.0,500.0,7800.0,3311.9
2.0,500.0,7900.0,3324.5
2.0,500.0,8000.0,3337.1
2.0,500.0,8100.0,3349.5
2.0,500.0,8200.0,3361.6
2.0,500.0,8300.0,3373.9
2.0,500.0,8400.0,3385.4
2.0,500.0,8500.0,3397.1
2.0,500.0,8600.0,3408.9
2.0,500.0,8700.0,3420.0
2.0,500.0,8800.0,3431.2
2.0,500.0,8900.0,3442.5
2.0,500.0,9000.0,3453.2
2.0,500.0,9100.0,3463.9
2.0,500.0,9200.0,3474.5
2.0,500.0,9300.0,3485.1
2.0,500.0,9400.0,3495.4
